bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
20,75.0,32.5169,0.0940816,186.594,0.876242,0.0,186.594,0.876242,345.6244366592405,212.94802120875283,434928379.9566997,434.92837995669976,26.83326147852148,434.9213404891662,14.521689671259445,420.40669028544033,2000.6589990933016,0.0,2000.6589990933016,0.2,10003.294995466507,11253706.869899822,56268534.34949911,450148274.79599285,0.20120382137186227
21,78.75,31.9384,0.0868092,188.854,0.868709,0.0,188.854,0.868709,367.91492145993743,217.3961591280855,447408139.11627483,447.4081391162748,26.25476147852148,447.40109964874125,13.912701456027971,433.49543766024686,1957.8004807755224,0.0,1957.8004807755224,0.2,9789.002403877612,12141422.04405945,60707110.220297255,485656881.762378,0.21707518601602555
22,82.5,31.4257,0.0845167,186.46,0.839946,0.0,186.46,0.839946,371.8282895569751,221.99046129155923,434201052.3658672,434.2010523658672,25.742061478521478,434.19401289833365,13.336577741597804,420.8644746242694,1919.8167947919,0.0,1919.8167947919,0.2,9599.0839739595,13066753.05955237,65333765.29776184,522670122.38209474,0.2336190802638005
23,86.25,31.0268,0.0850372,185.908,0.85467,0.0,185.908,0.85467,364.8614959100253,217.52021247967048,431219485.40170306,431.2194854017031,25.34316147852148,431.2124459341695,12.791387400606144,418.42809800109694,1890.2640498360452,0.0,1890.2640498360452,0.2,9451.320249180226,14061792.408233454,70308962.04116727,562471696.3293382,0.25140928234428045
24,90.0,30.5594,0.0846155,186.828,0.870079,0.0,186.828,0.870079,361.1560529690187,214.72532953904184,436201828.6351693,436.2018286351693,24.87576147852148,436.19478916763575,12.275315413021143,423.9265132221482,1855.636441432017,0.0,1855.636441432017,0.2,9278.182207160084,15030655.175599337,75153275.87799668,601226207.0239735,0.26873147612740933
25,93.75,30.1096,0.0836161,186.628,0.891651,0.0,186.628,0.891651,360.093331308205,209.306107434411,435113146.9506829,435.1131469506829,24.42596147852148,435.10610748314934,11.786655844860713,423.3264911058222,1822.3127395489796,0.0,1822.3127395489796,0.2,9111.563697744898,16016420.562442204,80082102.812211,640656822.4976882,0.286355870036175
26,97.5,29.9078,0.0823793,187.197,0.885488,0.0,187.197,0.885488,363.0499409439022,211.40546229875503,438218633.3080808,438.21863330808077,24.22416147852148,438.2115938405472,11.32380525211114,426.89482805596964,1807.3622659162606,0.0,1807.3622659162606,0.2,9036.811329581302,17181237.540366452,85906187.70183225,687249501.614658,0.3071815081895943
27,101.25,29.8466,0.0786122,187.515,0.851589,0.0,187.515,0.851589,379.6688045875831,220.19424863402412,439965265.4678827,439.9652654678827,24.162961478521478,439.95822600034916,10.885256484086923,429.0800089837958,1802.8282273319078,0.0,1802.8282273319078,0.2,9014.141136659538,18481806.24925726,92409031.2462863,739272249.9702903,0.3304342370202528
28,105.0,29.6838,0.0779798,186.929,0.866997,0.0,186.929,0.866997,380.66011967201763,215.60512896815098,436752796.034255,436.752796034255,24.00016147852148,436.74575656672147,10.469592862033808,426.2832031722212,1790.767092012747,0.0,1790.767092012747,0.2,8953.835460063734,19743207.189440537,98716035.94720267,789728287.5776215,0.35298668950377793
29,108.75,29.3199,0.0821496,186.929,0.873161,0.0,186.929,0.873161,356.90861550147537,214.08308433381703,436752796.034255,436.752796034255,23.63626147852148,436.74575656672147,10.07548271024303,426.677313324012,1763.8073429793158,0.0,1763.8073429793158,0.2,8819.036714896578,20859777.779703815,104298888.89851905,834391111.1881526,0.3729497356528915
