range_m,afterpulse_counts_per_bin,afterpulse_raw
4443.75,0,0
4447.5,0,0
4451.25,0,0
4455,0,0
4458.75,0,0
4462.5,0,0
4466.25,0,0
4470,0,0
4473.75,0,0
4477.5,0,0
4481.25,0,0
4485,0,0
4488.75,0,0
4492.5,0,0
4496.25,0,0
4500,0,0
4503.75,0,0
4507.5,0.001663893,0.0665557
4511.25,0,0
4515,0,0
4518.75,0,0
4522.5,0,0
4526.25,0.001663893,0.0665557
4530,0,0
4533.75,0,0
4537.5,0,0
4541.25,0,0
4545,0,0
4548.75,0,0
4552.5,0,0
4556.25,0,0
4560,0.001663893,0.0665557
4563.75,0,0
4567.5,0,0
4571.25,0,0
4575,0,0
4578.75,0.001663893,0.0665557
4582.5,0,0
4586.25,0.001663893,0.0665557
4590,0,0
4593.75,0,0
4597.5,0,0
4601.25,0,0
4605,0,0
4608.75,0.001663893,0.0665557
4612.5,0,0
4616.25,0,0
4620,0,0
4623.75,0,0
4627.5,0,0
4631.25,0,0
4635,0,0
4638.75,0,0
4642.5,0,0
4646.25,0,0
4650,0.001663893,0.0665557
4653.75,0,0
4657.5,0,0
4661.25,0,0
4665,0,0
4668.75,0,0
4672.5,0,0
4676.25,0,0
4680,0,0
4683.75,0,0
4687.5,0,0
4691.25,0,0
4695,0,0
4698.75,0,0
4702.5,0,0
4706.25,0,0
4710,0,0
4713.75,0,0
4717.5,0,0
4721.25,0,0
4725,0,0
4728.75,0,0
4732.5,0,0
4736.25,0,0
4740,0,0
4743.75,0,0
4747.5,0,0
4751.25,0,0
4755,0,0
4758.75,0,0
4762.5,0,0
4766.25,0,0
4770,0,0
4773.75,0,0
4777.5,0,0
4781.25,0,0
4785,0,0
4788.75,0,0
4792.5,0,0
4796.25,0,0
4800,0,0
4803.75,0,0
4807.5,0,0
4811.25,0,0
4815,0,0
4818.75,0,0
4822.5,0,0
4826.25,0,0
4830,0,0
4833.75,0,0
4837.5,0,0
4841.25,0,0
4845,0,0
4848.75,0,0
4852.5,0.001663893,0.0665557
4856.25,0,0
4860,0,0
4863.75,0,0
4867.5,0,0
4871.25,0,0
4875,0,0
4878.75,0,0
4882.5,0,0
4886.25,0,0
4890,0.001663893,0.0665557
4893.75,0,0
4897.5,0,0
4901.25,0,0
4905,0,0
4908.75,0,0
4912.5,0,0
4916.25,0,0
4920,0,0
4923.75,0,0
4927.5,0,0
4931.25,0,0
4935,0,0
4938.75,0.001663893,0.0665557
4942.5,0,0
4946.25,0,0
4950,0,0
4953.75,0,0
4957.5,0,0
4961.25,0,0
4965,0,0
4968.75,0,0
4972.5,0,0
4976.25,0,0
4980,0,0
4983.75,0,0
4987.5,0,0
4991.25,0,0
4995,0,0
4998.75,0,0
5002.5,0,0
5006.25,0,0
5010,0,0
5013.75,0,0
5017.5,0,0
5021.25,0,0
5025,0,0
5028.75,0,0
5032.5,0,0
5036.25,0,0
5040,0,0
5043.75,0,0
5047.5,0.001663893,0.0665557
5051.25,0,0
5055,0,0
5058.75,0,0
5062.5,0,0
5066.25,0,0
5070,0,0
5073.75,0,0
5077.5,0,0
5081.25,0.001663893,0.0665557
5085,0,0
5088.75,0,0
5092.5,0,0
5096.25,0.001663893,0.0665557
5100,0,0
5103.75,0,0
5107.5,0,0
5111.25,0,0
5115,0,0
5118.75,0,0
5122.5,0,0
5126.25,0,0
5130,0,0
5133.75,0,0
5137.5,0,0
5141.25,0,0
5145,0,0
5148.75,0,0
5152.5,0,0
5156.25,0,0
5160,0,0
5163.75,0,0
5167.5,0,0
5171.25,0,0
5175,0,0
5178.75,0,0
5182.5,0,0
5186.25,0,0
5190,0,0
5193.75,0,0
5197.5,0,0
5201.25,0,0
5205,0,0
5208.75,0,0
5212.5,0,0
5216.25,0,0
5220,0,0
5223.75,0,0
5227.5,0,0
5231.25,0,0
5235,0,0
5238.75,0,0
5242.5,0,0
5246.25,0,0
5250,0.001663893,0.0665557
5253.75,0,0
5257.5,0,0
5261.25,0,0
5265,0,0
5268.75,0,0
5272.5,0,0
5276.25,0,0
5280,0,0
5283.75,0,0
5287.5,0,0
5291.25,0,0
5295,0,0
5298.75,0,0
5302.5,0,0
5306.25,0,0
5310,0,0
5313.75,0,0
5317.5,0,0
5321.25,0,0
5325,0,0
5328.75,0,0
5332.5,0.001663893,0.0665557
5336.25,0,0
5340,0,0
5343.75,0,0
5347.5,0,0
5351.25,0,0
5355,0,0
5358.75,0.001663893,0.0665557
5362.5,0.003327775,0.133111
5366.25,0,0
5370,0,0
5373.75,0,0
5377.5,0,0
5381.25,0,0
5385,0,0
5388.75,0,0
5392.5,0,0
5396.25,0,0
5400,0,0
5403.75,0.001663893,0.0665557
5407.5,0,0
5411.25,0,0
5415,0,0
5418.75,0,0
5422.5,0,0
5426.25,0,0
5430,0,0
5433.75,0,0
5437.5,0,0
5441.25,0,0
5445,0,0
5448.75,0,0
5452.5,0.001663893,0.0665557
5456.25,0,0
5460,0,0
5463.75,0,0
5467.5,0,0
5471.25,0,0
5475,0,0
5478.75,0,0
5482.5,0,0
5486.25,0,0
5490,0,0
5493.75,0,0
5497.5,0,0
5501.25,0,0
5505,0,0
5508.75,0,0
5512.5,0,0
5516.25,0,0
5520,0,0
5523.75,0,0
5527.5,0,0
5531.25,0,0
5535,0,0
5538.75,0,0
5542.5,0.001663893,0.0665557
5546.25,0,0
5550,0,0
5553.75,0,0
5557.5,0,0
5561.25,0,0
5565,0,0
5568.75,0,0
5572.5,0,0
5576.25,0,0
5580,0,0
5583.75,0,0
5587.5,0,0
5591.25,0,0
5595,0,0
5598.75,0.001663893,0.0665557
5602.5,0,0
5606.25,0,0
5610,0,0
5613.75,0,0
5617.5,0,0
5621.25,0.001663893,0.0665557
5625,,
5628.75,,
5632.5,,
5636.25,,
5640,,
5643.75,,
5647.5,,
5651.25,,
5655,,
5658.75,,
5662.5,,
5666.25,,
5670,,
5673.75,,
5677.5,,
5681.25,,
5685,,
5688.75,,
5692.5,,
5696.25,,
5700,,
5703.75,,
5707.5,,
5711.25,,
5715,,
5718.75,,
5722.5,,
5726.25,,
5730,,
5733.75,,
5737.5,,
5741.25,,
5745,,
5748.75,,
5752.5,,
5756.25,,
5760,,
5763.75,,
5767.5,,
5771.25,,
5775,,
5778.75,,
5782.5,,
5786.25,,
5790,,
5793.75,,
5797.5,,
5801.25,,
5805,,
5808.75,,
5812.5,,
5816.25,,
5820,,
5823.75,,
5827.5,,
5831.25,,
5835,,
5838.75,,
5842.5,,
5846.25,,
5850,,
5853.75,,
5857.5,,
5861.25,,
5865,,
5868.75,,
5872.5,,
5876.25,,
5880,,
5883.75,,
5887.5,,
5891.25,,
5895,,
5898.75,,
5902.5,,
5906.25,,
5910,,
5913.75,,
5917.5,,
5921.25,,
5925,,
5928.75,,
5932.5,,
5936.25,,
5940,,
5943.75,,
5947.5,,
5951.25,,
5955,,
5958.75,,
5962.5,,
5966.25,,
5970,,
5973.75,,
5977.5,,
5981.25,,
5985,,
5988.75,,
5992.5,,
5996.25,,
6000,,
6003.75,,
6007.5,,
