bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
46,172.5,14.361,0.034819,164.791,0.857943,0.0,164.791,0.857943,412.44722708865845,192.0768629151354,332414477.16678,332.41447716678,8.691380539460539,332.40782224113286,5.705092737641765,326.7093844291382,689.767453309815,0.0,689.767453309815,0.2,3448.8372665490747,20524892.782550182,102624463.9127509,820995711.3020072,0.8400397601067554
47,176.25,14.0966,0.0336633,163.506,0.859307,0.0,163.506,0.859307,418.7527663657455,190.2765833398308,327226896.44743496,327.22689644743497,8.42698053946054,327.22024152178784,5.542810346149808,321.6840861012852,668.9617369793239,0.0,668.9617369793239,0.2,3344.808684896619,20780669.207634278,103903346.03817138,831226768.305371,0.8505081396030556
48,180.0,13.8425,0.0320566,163.74,0.858625,0.0,163.74,0.858625,431.8143533624901,190.70024748871745,328165472.037993,328.165472037993,8.17288053946054,328.1588171123459,5.387630098715691,322.7778419392773,648.9665307781977,0.0,648.9665307781977,0.2,3244.8326538909882,21026515.597213604,105132577.98606803,841060623.8885441,0.8605701040826415
49,183.75,13.5885,0.0322431,159.549,0.851461,0.0,159.549,0.851461,421.43900555467684,187.38262821197918,311753060.4846152,311.7530604846152,7.918880539460539,311.7464055589681,5.239162343317922,306.5138981412973,628.9791936074539,0.0,628.9791936074539,0.2,3144.8959680372695,21236892.804161675,106184464.02080837,849475712.166467,0.8691803911291509
50,187.5,13.1774,0.0302071,160.735,0.848391,0.0,160.735,0.848391,436.2351897401604,189.45863404963043,316313520.25549895,316.31352025549893,7.50778053946054,316.3068653298518,5.09704043063034,311.2164798248686,596.6296097063009,0.0,596.6296097063009,0.2,2983.1480485315046,20975259.716237143,104876298.58118571,839010388.6494857,0.8584723110069021
51,191.25,12.6838,0.0280153,157.629,0.841569,0.0,157.629,0.841569,452.745464085696,187.30371484691094,304505743.8419538,304.5057438419538,7.014180539460539,304.4990889163067,4.9609193293684335,299.54482451258536,557.7880757398473,0.0,557.7880757398473,0.2,2788.940378699236,20401970.414053258,102009852.07026628,816078816.5621302,0.8350088116853488
52,195.0,12.3206,0.0275799,157.129,0.843957,0.0,157.129,0.843957,446.72388224757884,186.18128648734472,302645340.89430815,302.64534089430816,6.65098053946054,302.63868596866104,4.830474325393448,297.81486656891474,529.20775739176,0.0,529.20775739176,0.2,2646.0387869588,20123124.97482167,100615624.87410836,804924998.9928669,0.8235962670079847
53,198.75,12.0187,0.0273737,153.957,0.834746,0.0,153.957,0.834746,439.06011974997904,184.43574452587973,291093686.9140552,291.09368691405524,6.34908053946054,291.0870319884081,4.705399799501665,286.3882871145536,505.4511546679505,0.0,505.4511546679505,0.2,2527.2557733397525,19966110.376813214,99830551.88406608,798644415.0725285,0.8171699968860563
54,202.5,11.7596,0.0269177,153.539,0.843957,0.0,153.539,0.843957,436.8723925149623,181.92751526440327,289602974.25738347,289.6029742573835,6.08998053946054,289.59631933173637,4.58540807913351,285.01756617825,485.0624969477152,0.0,485.0624969477152,0.2,2425.3124847385757,19890594.015462246,99452970.07731122,795623760.6184897,0.814079274476664
55,206.25,11.5722,0.0270794,152.871,0.855555,0.0,152.871,0.855555,427.3432941645679,178.680505636692,287235562.0966079,287.2355620966079,5.90258053946054,287.2289071709608,4.470228359525876,282.765333737082,470.31593401150496,0.0,470.31593401150496,0.2,2351.5796700575247,20006798.911661286,100033994.55830643,800271956.4664514,0.8188352911906351
56,210.0,11.4064,0.026591,150.985,0.883528,0.0,150.985,0.883528,428.95716595840696,170.88875508189895,280648619.22961175,280.64861922961177,5.736780539460539,280.64196430396464,4.3596056901021925,276.2890135395096,457.26908163784606,0.0,457.26908163784606,0.2,2286.34540818923,20165566.500229012,100827832.50114505,806622660.0091604,0.8253333074495336
57,213.75,11.2441,0.0262455,149.733,0.884551,0.0,149.733,0.884551,428.4201101141148,169.27571163222925,276353444.93238693,276.35344493238694,5.574480539460539,276.3467900067398,4.2533000221495865,272.10014491023736,444.49764532756353,0.0,444.49764532756353,0.2,2222.4882266378177,20308680.698473882,101543403.49236941,812347227.9389552,0.8311906640766874
58,217.5,11.1043,0.0260057,150.785,0.857602,0.0,150.785,0.857602,426.994851128791,175.8216515353276,279958388.25216365,279.9583882521637,5.4346805394605395,279.95173332651655,4.151085314071777,275.8073029380919,433.4967408532723,0.0,433.4967408532723,0.2,2167.483704266361,20507105.196990114,102535525.98495054,820284207.8796045,0.83931175244966
59,221.25,11.0074,0.0260066,148.164,0.86306,0.0,148.164,0.86306,423.254097036906,171.6728848515746,271055758.5573081,271.0557585573081,5.33778053946054,271.04910363166096,4.052748690731201,267.00300986657686,425.87165041293724,0.0,425.87165041293724,0.2,2129.358252064686,20847082.712167047,104235413.56083523,833883308.4866818,0.8532263016420304
60,225.0,10.898,0.0257638,148.965,0.851803,0.0,148.965,0.851803,422.9966076432824,174.8819856234364,273748633.46203774,273.74863346203773,5.228380539460539,273.7419785363906,3.9580896536050663,269.7905438084327,417.2629311748294,0.0,417.2629311748294,0.2,2086.314655874147,21123935.89072574,105619679.45362869,844957435.6290295,0.8645573073707893
61,228.75,10.7897,0.0257778,145.943,0.827241,0.0,145.943,0.827241,418.5655874434591,176.42138143539793,263713764.45160213,263.7137644516021,5.120080539460539,263.707109525955,3.8669193386784233,259.8468451129237,408.7407712709256,0.0,408.7407712709256,0.2,2043.703856354628,21387999.514206294,106939997.57103147,855519980.5682517,0.8753648640908963
62,232.5,10.6808,0.0249711,145.459,0.840204,0.0,145.459,0.840204,427.72645177825564,173.12343192843645,262137664.63326263,262.13766463326266,5.011180539460539,262.13100970761553,3.779059819183801,258.35860481407883,400.1713971847287,0.0,400.1713971847287,0.2,2000.8569859236434,21631765.08906699,108158825.44533494,865270603.5626795,0.8853416652950593
63,236.25,10.5506,0.0247667,143.623,0.868177,0.0,143.623,0.868177,425.99942664949305,165.43055160410836,256234629.9452991,256.2346299452991,4.880980539460539,256.227975019652,3.694343450471964,252.54028649482714,389.92591962712686,0.0,389.92591962712686,0.2,1949.6295981356343,21763349.648438435,108816748.24219218,870533985.9375373,0.8907271385766599
64,240.0,10.4392,0.0247526,144.007,0.85112,0.0,144.007,0.85112,421.7415544225657,169.19705799417238,257459444.33155322,257.45944433155324,4.769580539460539,257.4527894059061,3.612612254462922,253.8468320770903,381.1598197813753,0.0,381.1598197813753,0.2,1905.7990989068765,21954805.619407218,109774028.09703608,878192224.7762886,0.8985630200902703
65,243.75,10.3312,0.0245837,142.571,0.840204,0.0,142.571,0.840204,420.2459353148631,169.68617145359937,252905304.02757877,252.90530402757878,4.66158053946054,252.89864910193165,3.533717341280797,249.37158668629797,372.6612669686182,0.0,372.6612669686182,0.2,1863.3063348430908,22141319.807002667,110706599.03501332,885652792.2801067,0.9061966450287351
